filename, Glioma, Meningioma, No Tumor, Pituitary
Tr-pi_0164_jpg.rf.000776527ec0acdc89e31e15a3523b69.jpg, 0, 0, 0, 1
Tr-no_0426_jpg.rf.0026b06f369c5d51aca4c4c9beba88f0.jpg, 0, 0, 1, 0
Tr-gl_0496_jpg.rf.010620fbbbaa509aa81d7ce5bdf75de5.jpg, 1, 0, 0, 0
Tr-gl_0554_jpg.rf.010a72c1c25cc9ce83c77fbb23db21e3.jpg, 1, 0, 0, 0
Tr-me_0185_jpg.rf.0094b0b539582e2f95ae7b6ada4d4f42.jpg, 0, 1, 0, 0
Tr-gl_0421_jpg.rf.01fe6411998380f0e8e9130be263a7e4.jpg, 1, 0, 0, 0
Tr-pi_0085_jpg.rf.02531c163208eb8a49324b6c61c6d4ca.jpg, 0, 0, 0, 1
Tr-gl_0429_jpg.rf.01e84b8efde6afb94a4e1f223cbaeab9.jpg, 1, 0, 0, 0
Tr-pi_0480_jpg.rf.02275bbaa11d7eb9216fbc7d9db69789.jpg, 0, 0, 0, 1
Tr-no_0467_jpg.rf.0114a50dd612c9fd36909d19530b4b2d.jpg, 0, 0, 1, 0
Tr-pi_0023_jpg.rf.0240efacaf481e43794b5ed2706fb2c6.jpg, 0, 0, 0, 1
Tr-gl_0306_jpg.rf.026f33ac8493bbdd87412b29a56210aa.jpg, 1, 0, 0, 0
Tr-gl_0404_jpg.rf.033765f0ca8d58552ff0e2c6427418e9.jpg, 1, 0, 0, 0
Tr-gl_0044_jpg.rf.028a8da57f25d5bba2039e904edb587c.jpg, 1, 0, 0, 0
Tr-pi_0525_jpg.rf.0373157db24270b1dd56e4895f89bd4e.jpg, 0, 0, 0, 1
Tr-no_0508_jpg.rf.02fc180063296b42811e8c54f6451875.jpg, 0, 0, 1, 0
Tr-pi_0307_jpg.rf.03a574401cc85d36f04f400477747ab4.jpg, 0, 0, 0, 1
Tr-gl_0247_jpg.rf.03a6a4e6320e5c2f32e192d25f1fe194.jpg, 1, 0, 0, 0
Tr-no_0083_jpg.rf.03bae1be2aa42e89e261d020a0036938.jpg, 0, 0, 1, 0
Tr-me_0148_jpg.rf.03a9b9cffb6fe3b844f31410c4ec470f.jpg, 0, 1, 0, 0
Tr-me_0365_jpg.rf.03aded05646c7daf1736c9064be7b32e.jpg, 0, 1, 0, 0
Tr-gl_0430_jpg.rf.040c1b730963d66839559133da90048b.jpg, 1, 0, 0, 0
Tr-me_0464_jpg.rf.042ac6e9ce156a7858d9987472c67942.jpg, 0, 1, 0, 0
